Category: All categories

Week,ozempic: (United States),monjauro: (United States),wegovy: (United States)
2025-02-23,64,1,22
2025-03-02,65,<1,25
2025-03-09,64,1,23
2025-03-16,60,<1,22
2025-03-23,62,<1,24
2025-03-30,54,1,22
2025-04-06,55,<1,22
2025-04-13,59,1,23
2025-04-20,60,1,22
2025-04-27,58,<1,25
2025-05-04,57,1,25
2025-05-11,59,1,26
2025-05-18,59,1,23
2025-05-25,60,1,23
2025-06-01,57,1,25
2025-06-08,54,<1,24
2025-06-15,54,<1,25
2025-06-22,52,1,25
2025-06-29,50,<1,23
2025-07-06,53,<1,26
2025-07-13,52,<1,26
2025-07-20,54,1,27
2025-07-27,58,1,30
2025-08-03,52,1,25
2025-08-10,52,<1,23
2025-08-17,71,1,26
2025-08-24,55,1,24
2025-08-31,49,<1,22
2025-09-07,46,<1,20
2025-09-14,49,<1,21
2025-09-21,49,<1,22
2025-09-28,54,<1,25
2025-10-05,51,1,25
2025-10-12,46,<1,21
2025-10-19,48,<1,24
2025-10-26,44,1,22
2025-11-02,55,1,27
2025-11-09,49,1,23
2025-11-16,50,1,27
2025-11-23,49,<1,23
